Tumor_Sample_Barcode	frac	sample	min_alt
TCGA-06-0129-01A-01D-1490-08	0.99378357173034	Tumor	Min depth = 5
TCGA-06-0130-01A-01D-1490-08	0.986420423682781	Tumor	Min depth = 5
TCGA-06-0132-01A-02D-1491-08	0.976703482406904	Tumor	Min depth = 5
TCGA-06-0137-01A-01D-1490-08	0.868670408594363	Tumor	Min depth = 5
TCGA-06-0139-01A-01D-1490-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0140-01A-01D-1490-08	0.911642223429296	Tumor	Min depth = 5
TCGA-06-0141-01A-01D-1490-08	0.960649405516326	Tumor	Min depth = 5
TCGA-06-0142-01A-01D-1490-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0145-01A-01D-1490-08	0.995473474560927	Tumor	Min depth = 5
TCGA-06-0151-01A-01D-1491-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0152-01A-02D-1492-08	0.999879292654958	Tumor	Min depth = 5
TCGA-06-0154-01A-03D-1491-08	0.578489951113525	Tumor	Min depth = 5
TCGA-06-0155-01B-01D-1492-08	0.999879292654958	Tumor	Min depth = 5
TCGA-06-0157-01A-01D-1491-08	0.943690023537932	Tumor	Min depth = 5
TCGA-06-0158-01A-01D-1491-08	0.904339429054258	Tumor	Min depth = 5
TCGA-06-0165-01A-01D-1491-08	0.99318003500513	Tumor	Min depth = 5
TCGA-06-0166-01A-01D-1491-08	0.778019192467862	Tumor	Min depth = 5
TCGA-06-0167-01A-01D-1491-08	0.999215402257227	Tumor	Min depth = 5
TCGA-06-0168-01A-01D-1491-08	0.897338403041825	Tumor	Min depth = 5
TCGA-06-0169-01A-01D-1490-08	0.915323797453075	Tumor	Min depth = 5
TCGA-06-0171-01A-02D-1491-08	0.80523869877482	Tumor	Min depth = 5
TCGA-06-0173-01A-01D-1491-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0174-01A-01D-1491-08	0.902408111533587	Tumor	Min depth = 5
TCGA-06-0184-01A-01D-1491-08	0.913513187277446	Tumor	Min depth = 5
TCGA-06-0185-01A-01D-1491-08	0.997706560444203	Tumor	Min depth = 5
TCGA-06-0187-01A-01D-1491-08	0.690627074657493	Tumor	Min depth = 5
TCGA-06-0188-01A-01D-1491-08	0.900597501357958	Tumor	Min depth = 5
TCGA-06-0189-01A-01D-1491-08	0.760456273764259	Tumor	Min depth = 5
TCGA-06-0190-01A-01D-1491-08	0.645603234956847	Tumor	Min depth = 5
TCGA-06-0192-01B-01D-1492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0195-01B-01D-1491-08	0.890880560082081	Tumor	Min depth = 5
TCGA-06-0209-01A-01D-1491-08	0.932826362484157	Tumor	Min depth = 5
TCGA-06-0210-01B-01D-1491-08	0.803126320236586	Tumor	Min depth = 5
TCGA-06-0211-01B-01D-1491-08	0.515601424346671	Tumor	Min depth = 5
TCGA-06-0213-01A-01D-1491-08	0.982678495986481	Tumor	Min depth = 5
TCGA-06-0214-01A-02D-1491-08	0.82443116663649	Tumor	Min depth = 5
TCGA-06-0216-01B-01D-1492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0219-01A-01D-1491-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0221-01A-01D-1491-08	0.982135312933792	Tumor	Min depth = 5
TCGA-06-0237-01A-02D-1491-08	0.934818033677349	Tumor	Min depth = 5
TCGA-06-0238-01A-02D-1492-08	0.89021666968435	Tumor	Min depth = 5
TCGA-06-0240-01A-03D-1491-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0241-01A-02D-1491-08	0.830889009596234	Tumor	Min depth = 5
TCGA-06-0644-01A-02D-1492-08	0.974711811213712	Tumor	Min depth = 5
TCGA-06-0645-01A-01D-1492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0646-01A-01D-1492-08	0.720683203572937	Tumor	Min depth = 5
TCGA-06-0648-01A-01D-1492-08	0.981169654173456	Tumor	Min depth = 5
TCGA-06-0649-01B-01D-1492-08	0.986420423682781	Tumor	Min depth = 5
TCGA-06-0650-01A-02D-1696-08	0.645060051904158	Tumor	Min depth = 5
TCGA-06-0686-01A-01D-1492-08	0.999879292654958	Tumor	Min depth = 5
TCGA-06-0743-01A-01D-1492-08	0.96590017502565	Tumor	Min depth = 5
TCGA-06-0744-01A-01D-1492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0745-01A-01D-1492-08	0.999879292654958	Tumor	Min depth = 5
TCGA-06-0747-01A-01D-1492-08	0.999879292654958	Tumor	Min depth = 5
TCGA-06-0749-01A-01D-1492-08	0.999215402257227	Tumor	Min depth = 5
TCGA-06-0750-01A-01D-1492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0875-01A-01D-1492-08	0.999879292654958	Tumor	Min depth = 5
TCGA-06-0876-01A-01D-1492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0877-01A-01D-1492-08	0.999879292654958	Tumor	Min depth = 5
TCGA-06-0878-01A-01D-1492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0879-01A-01D-1492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0881-01A-02D-1492-08	0.999879292654958	Tumor	Min depth = 5
TCGA-06-0882-01A-01D-1492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-06-0939-01A-01D-1353-08	0.968797151306657	Tumor	Min depth = 5
TCGA-06-1084-01A-01W-0611-08	0.991610839519585	Tumor	Min depth = 5
TCGA-06-1087-01A-02W-0611-08	0.956122880077253	Tumor	Min depth = 5
TCGA-06-1800-01A-01W-0643-08	0.986299716337739	Tumor	Min depth = 5
TCGA-06-1801-01A-02W-0643-08	0.934395557969702	Tumor	Min depth = 5
TCGA-06-1802-01A-01W-0643-08	0.979841873377995	Tumor	Min depth = 5
TCGA-06-1804-01A-01D-1696-08	0.690989196692619	Tumor	Min depth = 5
TCGA-06-1805-01A-01W-0643-08	0.964753455247752	Tumor	Min depth = 5
TCGA-06-1806-01A-02D-1845-08	0.759430261331402	Tumor	Min depth = 5
TCGA-06-2557-01A-01D-1494-08	0.987325728770596	Tumor	Min depth = 5
TCGA-06-2558-01A-01D-1494-08	0.973987567143461	Tumor	Min depth = 5
TCGA-06-2559-01A-01D-1494-08	0.97766914116724	Tumor	Min depth = 5
TCGA-06-2561-01A-02D-1494-08	0.9962580723037	Tumor	Min depth = 5
TCGA-06-2562-01A-01D-1494-08	0.953346611141288	Tumor	Min depth = 5
TCGA-06-2563-01A-01D-1494-08	0.992395437262357	Tumor	Min depth = 5
TCGA-06-2564-01A-01D-1494-08	0.999879292654958	Tumor	Min depth = 5
TCGA-06-2565-01A-01D-1494-08	0.51548071700163	Tumor	Min depth = 5
TCGA-06-2566-01A-01W-0837-08	0.144486692015209	Tumor	Min depth = 5
TCGA-06-2567-01A-01D-1494-08	0.992878266642525	Tumor	Min depth = 5
TCGA-06-2569-01A-01D-1494-08	0.040014484881405	Tumor	Min depth = 5
TCGA-06-2570-01A-01D-1495-08	0.914478846037781	Tumor	Min depth = 5
TCGA-06-5408-01A-01D-1696-08	0.0363932645301467	Tumor	Min depth = 5
TCGA-06-5410-01A-01D-1696-08	0.0166576136157885	Tumor	Min depth = 5
TCGA-06-5411-01A-01D-1696-08	0.280644577222524	Tumor	Min depth = 5
TCGA-06-5412-01A-01D-1696-08	0.0627678194218118	Tumor	Min depth = 5
TCGA-06-5413-01A-01D-1696-08	0.143641740599915	Tumor	Min depth = 5
TCGA-06-5414-01A-01D-1486-08	0.0109240147262961	Tumor	Min depth = 5
TCGA-06-5415-01A-01D-1486-08	0.0125535638843624	Tumor	Min depth = 5
TCGA-06-5416-01A-01D-1486-08	0.0826241776812119	Tumor	Min depth = 5
TCGA-06-5417-01A-01D-1486-08	0.13211418914841	Tumor	Min depth = 5
TCGA-06-5418-01A-01D-1486-08	0.00337980566117448	Tumor	Min depth = 5
TCGA-06-5856-01A-01D-1696-08	0.352887923230129	Tumor	Min depth = 5
TCGA-06-5858-01A-01D-1696-08	0.0739332488381918	Tumor	Min depth = 5
TCGA-06-5859-01A-01D-1696-08	0.0762870420665097	Tumor	Min depth = 5
TCGA-06-6388-01A-12D-1845-08	0.535095660570946	Tumor	Min depth = 5
TCGA-06-6389-01A-11D-1696-08	0.432916892992939	Tumor	Min depth = 5
TCGA-06-6390-01A-11D-1696-08	0.249924557909349	Tumor	Min depth = 5
TCGA-06-6391-01A-11D-1696-08	0.301526947914781	Tumor	Min depth = 5
TCGA-06-6693-01A-11D-1845-08	0.0524473414207254	Tumor	Min depth = 5
TCGA-06-6694-01A-12D-1845-08	0.0248657130786408	Tumor	Min depth = 5
TCGA-06-6695-01A-11D-1845-08	0.0381435210332549	Tumor	Min depth = 5
TCGA-06-6697-01A-11D-1845-08	0.0137606373347818	Tumor	Min depth = 5
TCGA-06-6698-01A-11D-1845-08	0.0484639990343412	Tumor	Min depth = 5
TCGA-06-6699-01A-11D-1845-08	0.0121310881767156	Tumor	Min depth = 5
TCGA-06-6700-01A-12D-1845-08	0.883517412034522	Tumor	Min depth = 5
TCGA-06-6701-01A-11D-1845-08	0.991490132174543	Tumor	Min depth = 5
TCGA-06-A5U0-01A-11D-A33T-08	0.0115275514515058	Tumor	Min depth = 5
TCGA-06-A5U1-01A-11D-A33T-08	0.0717605166274368	Tumor	Min depth = 5
TCGA-06-A6S0-01A-11D-A33T-08	0	Tumor	Min depth = 5
TCGA-06-A6S1-01A-11D-A33T-08	0.0442995956303941	Tumor	Min depth = 5
TCGA-06-A7TK-01A-21D-A391-08	0.0452049007182087	Tumor	Min depth = 5
TCGA-06-A7TL-01A-11D-A391-08	0.186915323797453	Tumor	Min depth = 5
TCGA-08-0386-01A-01D-1492-08	0.682720743557245	Tumor	Min depth = 5
TCGA-09-0364-01A-02W-0371-08	0.249803850564307	Tumor	Min depth = 5
TCGA-09-0365-01A-02W-0371-08	0.866437322711087	Tumor	Min depth = 5
TCGA-09-0369-01A-01W-0371-08	0.932162472086426	Tumor	Min depth = 5
TCGA-09-1664-01A-01W-0639-09	0.999879292654958	Tumor	Min depth = 5
TCGA-09-1670-01A-01W-0633-09	0.999879292654958	Tumor	Min depth = 5
TCGA-09-1672-01A-01W-0633-09	0.999879292654958	Tumor	Min depth = 5
TCGA-09-1673-01A-01W-0633-09	0.997827267789245	Tumor	Min depth = 5
TCGA-09-1674-01A-01W-0633-09	0.963365320779769	Tumor	Min depth = 5
TCGA-09-1675-01B-01W-0633-09	0.999879292654958	Tumor	Min depth = 5
TCGA-09-2043-01A-01W-0799-08	0.731003681574024	Tumor	Min depth = 5
