## obtained from https://www.synapse.org/#!Synapse:syn1713813
tumor_id	muts	covd_bps	muts_per_mbp	tcga_type
TCGA-D3-A2JF-06A-11D-A196-08	1730	37123894	46.600714892678	skcm
TCGA-BR-4292-01A-01D-1126-08	1690	36285732	46.5747804123119	stad
TCGA-AA-3947-01A-01W-0995-10	1724	37151746	46.4042793574224	coadread
TCGA-AA-A01R-01A-21W-A096-10	1709	36879565	46.3400259737337	coadread
TCGA-A5-A0GP-01A-11W-A062-09	1592	34618553	45.9869018788856	ucec
TCGA-DA-A1HV-06A-21D-A196-08	1669	36521505	45.6991024876987	skcm
TCGA-05-4382-01A-01D-1265-08	1762	38564643	45.6895192832461	luad
TCGA-BR-4282-01A-01D-1126-08	1726	38192458	45.1921685689882	stad
TCGA-F1-6177-01A-11D-1800-08	1633	36341241	44.9351743381576	stad
TCGA-ER-A194-01A-11D-A197-08	1620	36996176	43.78830936473	skcm
TCGA-CG-5726-01A-11D-1600-08	1584	36449544	43.457333787221	stad
TCGA-BR-4201-01A-01D-1126-08	1557	35903368	43.3664050681819	stad
TCGA-BR-4368-01A-01D-1158-08	1529	36606811	41.7681835219134	stad
TCGA-AA-A00J-01A-02W-A005-10	1164	27969321	41.6170274566193	coadread
TCGA-A5-A0VP-01A-21D-A10B-09	1571	38157077	41.1719168111331	ucec
TCGA-AA-3966-01A-01W-1073-09	1180	29128299	40.5104328268534	coadread
TCGA-FS-A1ZA-06A-11D-A197-08	1441	36250223	39.7514795977945	skcm
TCGA-33-4566-01A-01D-1441-08	1458	36695218	39.7326975956377	lusc
TCGA-CG-5728-01A-11D-1600-08	1445	36450914	39.6423530010798	stad
TCGA-DA-A3F8-06A-11D-A20D-08	1453	37496345	38.7504435432307	skcm
TCGA-17-Z022-01A-01W-0746-08	1377	36005848	38.2437875091846	luad
TCGA-BR-4190-01A-01D-1126-08	1401	36923478	37.9433378404927	stad
TCGA-BS-A0TC-01A-11D-A10B-09	1448	38162794	37.9427145716847	ucec
TCGA-60-2698-01A-01D-1522-08	1393	36863749	37.7878006927619	lusc
TCGA-EE-A2GJ-06A-11D-A196-08	1395	37016978	37.6854101920476	skcm
TCGA-B7-5816-01A-21D-1600-08	1368	36368208	37.6152710081289	stad
TCGA-BR-4257-01A-01D-1126-08	1332	35439455	37.5852281024073	stad
TCGA-05-4410-01A-21D-1855-08	1417	37805393	37.4814249385002	luad
TCGA-EE-A3JI-06A-11D-A21A-08	1404	37866069	37.0780500083069	skcm
TCGA-AA-3710-01A-01W-0995-10	1337	36304235	36.827659362606	coadread
TCGA-66-2785-01A-01D-1522-08	1340	36747547	36.4650190120173	lusc
TCGA-64-5781-01A-01D-1625-08	1325	36695458	36.108010969641	luad
