Tumor_Sample_Barcode	purity_facets	purity_impact
P-0002025-T01-IM3	NA	0.15
P-0002032-T01-IM3	0.58069529501766	NA
P-0002035-T01-IM3	NA	NA
P-0002042-T01-IM3	NA	0.3
P-0002048-T01-IM3	0.593226413620516	0.3
P-0002049-T01-IM3	0.465065413907755	0.3
P-0002057-T01-IM3	NA	0.6
P-0002068-T01-IM3	NA	0.4
P-0002070-T01-IM3	NA	0.4
P-0002078-T01-IM3	NA	0.3
P-0002080-T01-IM3	NA	0.5
P-0002095-T01-IM3	NA	0.3
P-0002102-T01-IM3	NA	0.4
P-0002154-T01-IM3	NA	0.3
P-0002155-T01-IM3	NA	0.3
P-0002164-T01-IM3	0.678521519326784	0.4
P-0002235-T01-IM3	0.548383833819634	0.3
P-0002251-T01-IM3	NA	0.4
P-0002268-T01-IM3	0.437348770673102	0.6
P-0002291-T01-IM3	NA	0.1
P-0002321-T01-IM3	NA	0.3
P-0002323-T01-IM3	NA	0.4
P-0002327-T01-IM3	NA	0.15
P-0002339-T01-IM3	NA	0.1
P-0002343-T01-IM3	NA	0.3
P-0002395-T01-IM3	0.564929906655237	0.2
P-0002407-T01-IM3	NA	NA
P-0002413-T01-IM3	NA	0.3
P-0002438-T01-IM3	0.550182447472932	0.2
P-0002442-T01-IM3	NA	0.1
P-0002455-T01-IM3	NA	NA
P-0002463-T01-IM3	0.512020645638443	NA
P-0002463-T02-IM5	0.33645035636544	0.1
P-0002475-T01-IM3	0.728397050500786	NA
P-0002487-T01-IM3	0.601683393320708	0.2
P-0002488-T01-IM3	NA	NA
P-0002512-T02-IM5	NA	0.8
P-0002529-T01-IM3	NA	0.2
P-0002540-T01-IM3	NA	NA
P-0002542-T01-IM3	NA	NA
P-0002547-T01-IM3	NA	0.2
P-0002563-T01-IM3	NA	0.2
P-0002565-T01-IM3	NA	0.6
P-0002653-T01-IM3	0.3	0.2
P-0002665-T01-IM3	NA	0.5
P-0002670-T01-IM3	NA	0.2
