sample	dataset	CMS_network	CMS_RFclassifier	CMS_final_network_plus_RFclassifier_in_nonconsensus_samples
col001	gse33113	CMS2	CMS2	CMS2
col002	gse33113	CMS2	CMS2	CMS2
col003	gse33113	CMS1	CMS1	CMS1
col004	gse33113	CMS1	CMS1	CMS1
col005	gse33113	CMS2	CMS2	CMS2
col006	gse33113	CMS2	CMS2	CMS2
col007	gse33113	CMS2	CMS2	CMS2
col008	gse33113	CMS1	CMS1	CMS1
col009	gse33113	CMS1	CMS1	CMS1
col010	gse33113	CMS2	CMS2	CMS2
col011	gse33113	CMS2	CMS2	CMS2
col012	gse33113	CMS4	CMS4	CMS4
col013	gse33113	CMS1	CMS1	CMS1
col014	gse33113	CMS4	CMS4	CMS4
col015	gse33113	CMS2	CMS2	CMS2
col016	gse33113	CMS1	CMS1	CMS1
col017	gse33113	CMS2	CMS2	CMS2
col018	gse33113	CMS2	CMS2	CMS2
col019	gse33113	CMS3	CMS3	CMS3
col020	gse33113	CMS1	CMS1	CMS1
col021	gse33113	CMS3	CMS3	CMS3
col022	gse33113	CMS3	CMS3	CMS3
col023	gse33113	CMS2	CMS2	CMS2
col024	gse33113	CMS1	CMS1	CMS1
col026	gse33113	CMS4	CMS4	CMS4
col033	gse33113	UNK	CMS3	CMS3
col034	gse33113	CMS2	CMS2	CMS2
col035	gse33113	CMS1	CMS1	CMS1
col036	gse33113	CMS4	CMS4	CMS4
col037	gse33113	CMS4	CMS4	CMS4
col038	gse33113	CMS2	CMS2	CMS2
col039	gse33113	UNK	CMS3	CMS3
col040	gse33113	CMS1	CMS1	CMS1
col041	gse33113	CMS2	NOLBL	CMS2
col044	gse33113	UNK	NOLBL	NOLBL
col045	gse33113	CMS4	CMS4	CMS4
col046	gse33113	CMS2	CMS2	CMS2
col047	gse33113	CMS2	NOLBL	CMS2
col048	gse33113	CMS2	CMS2	CMS2
col049	gse33113	CMS2	CMS2	CMS2
col050	gse33113	CMS4	CMS4	CMS4
col051	gse33113	CMS2	CMS2	CMS2
col052	gse33113	UNK	CMS4	CMS4
col053	gse33113	CMS4	CMS4	CMS4
col054	gse33113	CMS3	CMS3	CMS3
col055	gse33113	CMS2	CMS2	CMS2
col056	gse33113	UNK	NOLBL	NOLBL
col057	gse33113	CMS2	CMS2	CMS2
col058	gse33113	CMS1	CMS1	CMS1
col059	gse33113	CMS4	CMS4	CMS4
col060	gse33113	CMS1	CMS1	CMS1
col061	gse33113	UNK	CMS4	CMS4
col062	gse33113	CMS4	CMS4	CMS4
col063	gse33113	UNK	NOLBL	NOLBL
col064	gse33113	CMS4	CMS4	CMS4
col065	gse33113	CMS2	CMS2	CMS2
col066	gse33113	CMS4	CMS4	CMS4
col067	gse33113	CMS1	CMS1	CMS1
col068	gse33113	CMS3	CMS3	CMS3
col069	gse33113	CMS4	NOLBL	CMS4
col070	gse33113	CMS2	CMS2	CMS2
col072	gse33113	CMS4	CMS4	CMS4
col073	gse33113	CMS3	CMS3	CMS3
col074	gse33113	CMS2	CMS2	CMS2
col075	gse33113	CMS4	CMS4	CMS4
col076	gse33113	CMS2	CMS2	CMS2
col077	gse33113	CMS3	CMS3	CMS3
col078	gse33113	CMS2	CMS2	CMS2
col079	gse33113	UNK	NOLBL	NOLBL
col080	gse33113	UNK	CMS4	CMS4
col081	gse33113	CMS1	CMS1	CMS1
col082	gse33113	CMS4	CMS4	CMS4
col083	gse33113	CMS2	CMS2	CMS2
col084	gse33113	CMS1	CMS1	CMS1
col085	gse33113	CMS1	CMS1	CMS1
col086	gse33113	CMS2	CMS2	CMS2
col089	gse33113	UNK	NOLBL	NOLBL
col090	gse33113	CMS2	CMS2	CMS2
col091	gse33113	CMS1	CMS1	CMS1
col092	gse33113	CMS4	CMS4	CMS4
col093	gse33113	CMS1	CMS1	CMS1
col094	gse33113	CMS2	CMS2	CMS2
col095	gse33113	CMS2	CMS2	CMS2
col096	gse33113	CMS1	CMS1	CMS1
col097	gse33113	CMS2	CMS2	CMS2
col098	gse33113	CMS4	CMS4	CMS4
col099	gse33113	CMS3	CMS3	CMS3
col100	gse33113	CMS1	CMS1	CMS1
col101	gse33113	CMS2	NOLBL	CMS2
col102	gse33113	CMS2	CMS2	CMS2
COLON321	kfsyscc	CMS1	CMS1	CMS1
COLON322	kfsyscc	CMS3	CMS3	CMS3
COLON016	kfsyscc	UNK	CMS1	CMS1
COLON017	kfsyscc	UNK	NOLBL	NOLBL
COLON018	kfsyscc	CMS2	CMS2	CMS2
COLON019	kfsyscc	CMS2	CMS2	CMS2
COLON020	kfsyscc	CMS4	CMS4	CMS4
COLON021	kfsyscc	CMS4	CMS4	CMS4
COLON022	kfsyscc	CMS2	CMS2	CMS2
COLON023	kfsyscc	UNK	CMS2	CMS2
COLON024	kfsyscc	UNK	NOLBL	NOLBL
COLON025	kfsyscc	UNK	NOLBL	NOLBL
COLON026	kfsyscc	CMS3	CMS3	CMS3
COLON027	kfsyscc	CMS2	CMS2	CMS2
COLON028	kfsyscc	CMS2	CMS2	CMS2
COLON029	kfsyscc	CMS2	CMS2	CMS2
COLON030	kfsyscc	CMS2	CMS2	CMS2
COLON031	kfsyscc	CMS3	CMS3	CMS3
COLON032	kfsyscc	CMS2	CMS2	CMS2
COLON033	kfsyscc	UNK	NOLBL	NOLBL
COLON034	kfsyscc	CMS2	CMS2	CMS2
COLON035	kfsyscc	UNK	CMS3	CMS3
COLON036	kfsyscc	CMS4	CMS4	CMS4
COLON037	kfsyscc	CMS4	CMS4	CMS4
COLON038	kfsyscc	UNK	NOLBL	NOLBL
COLON039	kfsyscc	UNK	CMS3	CMS3
COLON040	kfsyscc	CMS2	CMS2	CMS2
COLON041	kfsyscc	UNK	NOLBL	NOLBL
COLON042	kfsyscc	UNK	CMS2	CMS2
COLON043	kfsyscc	CMS2	CMS2	CMS2
COLON044	kfsyscc	CMS3	CMS3	CMS3
COLON045	kfsyscc	UNK	NOLBL	NOLBL
COLON046	kfsyscc	CMS2	CMS2	CMS2
COLON047	kfsyscc	CMS1	CMS1	CMS1
COLON048	kfsyscc	UNK	CMS3	CMS3
COLON049	kfsyscc	UNK	NOLBL	NOLBL
COLON050	kfsyscc	CMS1	CMS1	CMS1
COLON051	kfsyscc	CMS4	CMS4	CMS4
COLON052	kfsyscc	CMS2	CMS2	CMS2
COLON053	kfsyscc	UNK	NOLBL	NOLBL
COLON054	kfsyscc	CMS4	CMS4	CMS4
COLON055	kfsyscc	CMS2	CMS2	CMS2
COLON056	kfsyscc	UNK	CMS3	CMS3
COLON057	kfsyscc	CMS4	CMS4	CMS4
COLON058	kfsyscc	CMS4	CMS4	CMS4
COLON059	kfsyscc	CMS4	CMS4	CMS4
COLON060	kfsyscc	CMS4	NOLBL	CMS4
COLON061	kfsyscc	CMS2	CMS2	CMS2
COLON062	kfsyscc	UNK	CMS4	CMS4
COLON063	kfsyscc	UNK	NOLBL	NOLBL
COLON064	kfsyscc	CMS4	CMS4	CMS4
COLON065	kfsyscc	CMS2	CMS2	CMS2
COLON066	kfsyscc	CMS3	CMS3	CMS3
COLON067	kfsyscc	CMS4	CMS4	CMS4
COLON068	kfsyscc	UNK	NOLBL	NOLBL
COLON069	kfsyscc	CMS2	NOLBL	CMS2
COLON070	kfsyscc	CMS1	CMS1	CMS1
COLON071	kfsyscc	CMS2	NOLBL	CMS2
COLON072	kfsyscc	CMS2	CMS2	CMS2
COLON073	kfsyscc	CMS3	CMS3	CMS3
COLON074	kfsyscc	CMS4	CMS4	CMS4
COLON075	kfsyscc	UNK	CMS3	CMS3
COLON076	kfsyscc	CMS2	CMS2	CMS2
COLON077	kfsyscc	UNK	CMS4	CMS4
COLON078	kfsyscc	CMS4	CMS4	CMS4
COLON079	kfsyscc	UNK	CMS3	CMS3
COLON080	kfsyscc	CMS1	CMS1	CMS1
COLON081	kfsyscc	CMS2	CMS2	CMS2
COLON082	kfsyscc	CMS4	CMS4	CMS4
COLON083	kfsyscc	UNK	CMS2	CMS2
COLON084	kfsyscc	CMS4	CMS4	CMS4
COLON085	kfsyscc	CMS4	CMS4	CMS4
COLON086	kfsyscc	CMS2	CMS2	CMS2
COLON087	kfsyscc	CMS2	CMS2	CMS2
COLON088	kfsyscc	CMS2	CMS2	CMS2
COLON089	kfsyscc	CMS2	CMS2	CMS2
COLON090	kfsyscc	CMS4	NOLBL	CMS4
COLON091	kfsyscc	UNK	CMS2	CMS2
COLON092	kfsyscc	UNK	CMS2	CMS2
COLON093	kfsyscc	CMS3	CMS3	CMS3
COLON094	kfsyscc	UNK	NOLBL	NOLBL
COLON095	kfsyscc	UNK	NOLBL	NOLBL
COLON096	kfsyscc	CMS4	NOLBL	CMS4
COLON097	kfsyscc	CMS2	CMS2	CMS2
COLON098	kfsyscc	CMS4	CMS4	CMS4
COLON099	kfsyscc	CMS2	CMS2	CMS2
COLON100	kfsyscc	CMS4	CMS4	CMS4
COLON101	kfsyscc	CMS1	CMS1	CMS1
COLON102	kfsyscc	CMS3	CMS3	CMS3
COLON103	kfsyscc	CMS4	CMS4	CMS4
COLON104	kfsyscc	CMS3	CMS3	CMS3
COLON105	kfsyscc	CMS3	CMS3	CMS3
COLON106	kfsyscc	CMS2	CMS2	CMS2
COLON107	kfsyscc	UNK	NOLBL	NOLBL
COLON108	kfsyscc	UNK	CMS4	CMS4
COLON109	kfsyscc	UNK	NOLBL	NOLBL
COLON110	kfsyscc	UNK	CMS2	CMS2
COLON111	kfsyscc	CMS4	CMS4	CMS4
COLON112	kfsyscc	CMS2	CMS2	CMS2
COLON113	kfsyscc	UNK	NOLBL	NOLBL
COLON114	kfsyscc	CMS2	CMS2	CMS2
COLON115	kfsyscc	CMS2	CMS2	CMS2
COLON116	kfsyscc	CMS2	CMS2	CMS2
COLON117	kfsyscc	CMS2	CMS2	CMS2
COLON118	kfsyscc	CMS2	CMS2	CMS2
COLON119	kfsyscc	UNK	NOLBL	NOLBL
COLON120	kfsyscc	CMS4	CMS4	CMS4
COLON121	kfsyscc	CMS2	CMS2	CMS2
COLON122	kfsyscc	CMS4	CMS4	CMS4
COLON123	kfsyscc	CMS4	CMS4	CMS4
COLON124	kfsyscc	CMS1	CMS1	CMS1
COLON125	kfsyscc	CMS4	CMS4	CMS4
COLON126	kfsyscc	CMS2	CMS2	CMS2
COLON127	kfsyscc	CMS2	CMS2	CMS2
COLON128	kfsyscc	CMS4	CMS4	CMS4
COLON129	kfsyscc	UNK	CMS2	CMS2
COLON130	kfsyscc	CMS4	CMS4	CMS4
COLON131	kfsyscc	CMS1	CMS1	CMS1
COLON132	kfsyscc	CMS3	CMS3	CMS3
COLON133	kfsyscc	UNK	CMS2	CMS2
COLON134	kfsyscc	CMS2	CMS2	CMS2
COLON135	kfsyscc	CMS3	CMS3	CMS3
COLON136	kfsyscc	CMS2	CMS2	CMS2
COLON137	kfsyscc	CMS3	CMS3	CMS3
COLON138	kfsyscc	CMS2	CMS2	CMS2
COLON139	kfsyscc	CMS1	CMS1	CMS1
COLON140	kfsyscc	CMS2	CMS2	CMS2
COLON141	kfsyscc	UNK	NOLBL	NOLBL
COLON142	kfsyscc	CMS4	CMS4	CMS4
COLON143	kfsyscc	CMS2	NOLBL	CMS2
COLON144	kfsyscc	CMS4	CMS4	CMS4
COLON145	kfsyscc	UNK	CMS2	CMS2
COLON146	kfsyscc	CMS4	CMS4	CMS4
COLON147	kfsyscc	UNK	CMS3	CMS3
COLON148	kfsyscc	CMS4	CMS4	CMS4
COLON149	kfsyscc	CMS3	CMS3	CMS3
COLON150	kfsyscc	UNK	CMS2	CMS2
COLON151	kfsyscc	CMS2	CMS2	CMS2
COLON152	kfsyscc	CMS2	CMS2	CMS2
COLON153	kfsyscc	CMS4	CMS4	CMS4
COLON154	kfsyscc	CMS2	CMS2	CMS2
COLON155	kfsyscc	CMS4	CMS4	CMS4
COLON156	kfsyscc	CMS2	CMS2	CMS2
COLON157	kfsyscc	CMS3	CMS3	CMS3
COLON158	kfsyscc	CMS4	CMS4	CMS4
COLON159	kfsyscc	UNK	CMS3	CMS3
COLON160	kfsyscc	CMS4	NOLBL	CMS4
COLON161	kfsyscc	CMS4	CMS4	CMS4
COLON162	kfsyscc	CMS4	CMS4	CMS4
COLON163	kfsyscc	CMS1	CMS1	CMS1
COLON164	kfsyscc	UNK	CMS3	CMS3
COLON165	kfsyscc	CMS2	CMS2	CMS2
COLON166	kfsyscc	CMS4	CMS4	CMS4
COLON167	kfsyscc	UNK	CMS3	CMS3
COLON168	kfsyscc	CMS2	CMS2	CMS2
COLON169	kfsyscc	CMS4	CMS4	CMS4
COLON170	kfsyscc	CMS2	CMS2	CMS2
COLON171	kfsyscc	CMS4	CMS4	CMS4
COLON172	kfsyscc	CMS2	CMS2	CMS2
COLON173	kfsyscc	UNK	CMS2	CMS2
COLON174	kfsyscc	CMS3	CMS3	CMS3
COLON175	kfsyscc	CMS4	CMS4	CMS4
COLON176	kfsyscc	CMS4	CMS4	CMS4
COLON177	kfsyscc	CMS4	CMS4	CMS4
COLON178	kfsyscc	CMS2	CMS2	CMS2
COLON179	kfsyscc	UNK	NOLBL	NOLBL
COLON180	kfsyscc	CMS4	CMS4	CMS4
COLON181	kfsyscc	CMS1	CMS1	CMS1
COLON182	kfsyscc	UNK	CMS2	CMS2
COLON183	kfsyscc	CMS2	CMS2	CMS2
COLON184	kfsyscc	CMS4	CMS4	CMS4
COLON185	kfsyscc	CMS4	CMS4	CMS4
COLON186	kfsyscc	CMS4	CMS4	CMS4
COLON187	kfsyscc	CMS2	CMS2	CMS2
COLON188	kfsyscc	UNK	NOLBL	NOLBL
COLON189	kfsyscc	CMS1	CMS1	CMS1
COLON190	kfsyscc	UNK	CMS2	CMS2
COLON191	kfsyscc	CMS4	CMS4	CMS4
COLON192	kfsyscc	CMS2	CMS2	CMS2
COLON193	kfsyscc	CMS2	CMS2	CMS2
COLON194	kfsyscc	CMS3	CMS3	CMS3
COLON195	kfsyscc	UNK	NOLBL	NOLBL
COLON196	kfsyscc	UNK	NOLBL	NOLBL
COLON197	kfsyscc	UNK	NOLBL	NOLBL
COLON198	kfsyscc	CMS1	CMS1	CMS1
COLON199	kfsyscc	CMS2	CMS2	CMS2
COLON200	kfsyscc	CMS4	CMS4	CMS4
COLON201	kfsyscc	UNK	CMS2	CMS2
COLON202	kfsyscc	UNK	NOLBL	NOLBL
COLON203	kfsyscc	UNK	NOLBL	NOLBL
COLON204	kfsyscc	CMS4	CMS4	CMS4
COLON205	kfsyscc	CMS2	CMS2	CMS2
COLON206	kfsyscc	CMS2	CMS2	CMS2
COLON207	kfsyscc	CMS2	CMS2	CMS2
COLON208	kfsyscc	CMS2	CMS2	CMS2
COLON209	kfsyscc	CMS4	CMS4	CMS4
COLON210	kfsyscc	CMS4	CMS4	CMS4
COLON211	kfsyscc	CMS4	CMS4	CMS4
COLON212	kfsyscc	CMS4	CMS4	CMS4
COLON213	kfsyscc	CMS2	CMS2	CMS2
COLON214	kfsyscc	CMS1	CMS1	CMS1
COLON215	kfsyscc	UNK	CMS2	CMS2
COLON216	kfsyscc	CMS2	CMS2	CMS2
COLON217	kfsyscc	UNK	CMS4	CMS4
COLON218	kfsyscc	CMS2	CMS2	CMS2
COLON219	kfsyscc	CMS4	CMS4	CMS4
COLON220	kfsyscc	CMS1	CMS1	CMS1
COLON221	kfsyscc	CMS3	CMS3	CMS3
COLON222	kfsyscc	CMS2	CMS2	CMS2
COLON223	kfsyscc	UNK	NOLBL	NOLBL
COLON224	kfsyscc	UNK	NOLBL	NOLBL
COLON225	kfsyscc	CMS1	CMS1	CMS1
COLON226	kfsyscc	CMS4	CMS4	CMS4
COLON227	kfsyscc	UNK	CMS4	CMS4
COLON228	kfsyscc	CMS2	CMS2	CMS2
COLON229	kfsyscc	CMS4	CMS4	CMS4
COLON230	kfsyscc	CMS4	CMS4	CMS4
COLON231	kfsyscc	CMS4	CMS4	CMS4
COLON232	kfsyscc	CMS1	CMS1	CMS1
COLON233	kfsyscc	UNK	NOLBL	NOLBL
COLON234	kfsyscc	CMS2	CMS2	CMS2
COLON235	kfsyscc	CMS2	CMS2	CMS2
COLON236	kfsyscc	CMS1	CMS1	CMS1
COLON237	kfsyscc	CMS3	CMS3	CMS3
COLON238	kfsyscc	CMS4	CMS4	CMS4
COLON239	kfsyscc	CMS4	NOLBL	CMS4
COLON240	kfsyscc	CMS2	CMS2	CMS2
COLON241	kfsyscc	CMS4	CMS4	CMS4
COLON242	kfsyscc	UNK	CMS2	CMS2
COLON243	kfsyscc	CMS3	CMS3	CMS3
COLON244	kfsyscc	CMS2	CMS2	CMS2
COLON245	kfsyscc	CMS1	CMS1	CMS1
COLON246	kfsyscc	UNK	CMS3	CMS3
COLON249	kfsyscc	CMS4	CMS4	CMS4
COLON250	kfsyscc	CMS1	CMS1	CMS1
COLON252	kfsyscc	UNK	NOLBL	NOLBL
COLON253	kfsyscc	CMS3	CMS3	CMS3
COLON254	kfsyscc	UNK	NOLBL	NOLBL
COLON247	kfsyscc	CMS4	CMS4	CMS4
COLON248	kfsyscc	CMS4	CMS4	CMS4
COLON251	kfsyscc	UNK	CMS2	CMS2
COLON255	kfsyscc	UNK	CMS1	CMS1
COLON256	kfsyscc	CMS2	CMS2	CMS2
COLON257	kfsyscc	CMS1	CMS1	CMS1
COLON258	kfsyscc	CMS4	CMS4	CMS4
COLON259	kfsyscc	CMS2	CMS2	CMS2
COLON260	kfsyscc	CMS3	CMS3	CMS3
COLON261	kfsyscc	UNK	CMS3	CMS3
COLON262	kfsyscc	UNK	CMS3	CMS3
COLON263	kfsyscc	UNK	CMS3	CMS3
COLON264	kfsyscc	CMS1	CMS1	CMS1
COLON265	kfsyscc	CMS3	CMS3	CMS3
COLON266	kfsyscc	UNK	CMS4	CMS4
COLON267	kfsyscc	CMS1	CMS1	CMS1
COLON268	kfsyscc	UNK	CMS3	CMS3
COLON269	kfsyscc	CMS4	CMS4	CMS4
COLON270	kfsyscc	CMS2	CMS2	CMS2
COLON271	kfsyscc	CMS2	CMS2	CMS2
COLON272	kfsyscc	UNK	NOLBL	NOLBL
COLON273	kfsyscc	UNK	NOLBL	NOLBL
COLON274	kfsyscc	CMS1	CMS1	CMS1
COLON275	kfsyscc	CMS3	CMS3	CMS3
COLON276	kfsyscc	CMS3	CMS3	CMS3
COLON277	kfsyscc	CMS2	CMS2	CMS2
COLON278	kfsyscc	CMS4	CMS4	CMS4
COLON279	kfsyscc	CMS2	CMS2	CMS2
COLON280	kfsyscc	CMS4	CMS4	CMS4
COLON281	kfsyscc	CMS2	CMS2	CMS2
COLON282	kfsyscc	CMS2	CMS2	CMS2
COLON283	kfsyscc	CMS1	CMS1	CMS1
COLON284	kfsyscc	CMS3	CMS3	CMS3
COLON285	kfsyscc	CMS4	CMS4	CMS4
COLON286	kfsyscc	CMS4	CMS4	CMS4
COLON287	kfsyscc	CMS4	CMS4	CMS4
COLON288	kfsyscc	UNK	CMS2	CMS2
COLON289	kfsyscc	CMS4	CMS4	CMS4
COLON290	kfsyscc	CMS2	CMS2	CMS2
COLON291	kfsyscc	CMS3	CMS3	CMS3
COLON292	kfsyscc	CMS2	CMS2	CMS2
COLON293	kfsyscc	CMS2	CMS2	CMS2
COLON294	kfsyscc	CMS3	CMS3	CMS3
COLON295	kfsyscc	CMS3	CMS3	CMS3
COLON296	kfsyscc	CMS4	CMS4	CMS4
COLON297	kfsyscc	CMS4	CMS4	CMS4
COLON298	kfsyscc	CMS2	CMS2	CMS2
COLON299	kfsyscc	CMS1	CMS1	CMS1
COLON300	kfsyscc	UNK	CMS3	CMS3
COLON301	kfsyscc	UNK	CMS1	CMS1
COLON302	kfsyscc	UNK	CMS3	CMS3
COLON303	kfsyscc	CMS4	CMS4	CMS4
COLON304	kfsyscc	CMS2	CMS2	CMS2
COLON305	kfsyscc	CMS2	CMS2	CMS2
COLON306	kfsyscc	CMS2	CMS2	CMS2
COLON307	kfsyscc	CMS2	CMS2	CMS2
COLON308	kfsyscc	CMS3	CMS3	CMS3
COLON309	kfsyscc	CMS1	CMS1	CMS1
COLON310	kfsyscc	UNK	NOLBL	NOLBL
COLON311	kfsyscc	CMS2	CMS2	CMS2
COLON312	kfsyscc	UNK	CMS2	CMS2
COLON313	kfsyscc	CMS3	CMS3	CMS3
COLON314	kfsyscc	CMS3	CMS3	CMS3
COLON315	kfsyscc	CMS2	CMS2	CMS2
COLON316	kfsyscc	CMS2	CMS2	CMS2
COLON317	kfsyscc	CMS2	CMS2	CMS2
COLON318	kfsyscc	CMS2	CMS2	CMS2
COLON319	kfsyscc	CMS4	CMS4	CMS4
COLON320	kfsyscc	CMS2	CMS2	CMS2
GSM971957	gse39582	UNK	CMS4	CMS4
GSM971958	gse39582	CMS4	CMS4	CMS4
GSM971959	gse39582	CMS3	CMS3	CMS3
GSM971960	gse39582	CMS2	CMS2	CMS2
GSM971961	gse39582	CMS4	CMS4	CMS4
GSM971962	gse39582	CMS4	CMS4	CMS4
GSM971963	gse39582	CMS1	CMS1	CMS1
GSM971964	gse39582	CMS2	CMS2	CMS2
GSM971965	gse39582	CMS2	NOLBL	CMS2
GSM971966	gse39582	UNK	CMS4	CMS4
GSM971967	gse39582	CMS3	CMS3	CMS3
GSM971968	gse39582	CMS4	CMS4	CMS4
GSM971969	gse39582	CMS1	CMS1	CMS1
GSM971970	gse39582	CMS3	CMS3	CMS3
GSM971971	gse39582	CMS1	CMS1	CMS1
GSM971972	gse39582	CMS2	NOLBL	CMS2
GSM971973	gse39582	CMS1	CMS1	CMS1
GSM971974	gse39582	CMS3	CMS3	CMS3
GSM971975	gse39582	CMS2	CMS2	CMS2
GSM971976	gse39582	CMS2	CMS2	CMS2
GSM971977	gse39582	UNK	CMS4	CMS4
GSM971978	gse39582	CMS1	CMS1	CMS1
GSM971979	gse39582	CMS1	CMS1	CMS1
GSM971980	gse39582	CMS1	CMS1	CMS1
GSM971981	gse39582	CMS1	CMS1	CMS1
GSM971982	gse39582	CMS1	CMS1	CMS1
GSM971983	gse39582	CMS1	CMS1	CMS1
GSM971984	gse39582	CMS1	CMS1	CMS1
GSM971985	gse39582	CMS3	CMS3	CMS3
GSM971986	gse39582	UNK	CMS4	CMS4
GSM971987	gse39582	CMS4	CMS4	CMS4
GSM971988	gse39582	CMS1	CMS1	CMS1
GSM971989	gse39582	CMS3	CMS3	CMS3
GSM971990	gse39582	UNK	NOLBL	NOLBL
GSM971991	gse39582	UNK	CMS4	CMS4
GSM971992	gse39582	CMS2	CMS2	CMS2
GSM971993	gse39582	UNK	CMS1	CMS1
GSM971994	gse39582	CMS2	CMS2	CMS2
GSM971995	gse39582	UNK	NOLBL	NOLBL
GSM971996	gse39582	CMS4	CMS4	CMS4
GSM971997	gse39582	CMS1	CMS1	CMS1
GSM971998	gse39582	UNK	NOLBL	NOLBL
GSM971999	gse39582	CMS2	NOLBL	CMS2
GSM972000	gse39582	CMS2	CMS2	CMS2
GSM972001	gse39582	UNK	CMS3	CMS3
GSM972002	gse39582	CMS3	CMS3	CMS3
GSM972003	gse39582	CMS2	CMS2	CMS2
GSM972004	gse39582	CMS2	CMS2	CMS2
GSM972005	gse39582	CMS3	CMS3	CMS3
GSM972006	gse39582	CMS4	CMS4	CMS4
GSM972007	gse39582	CMS4	CMS4	CMS4
GSM972008	gse39582	CMS4	CMS4	CMS4
GSM972009	gse39582	UNK	NOLBL	NOLBL
GSM972010	gse39582	CMS4	CMS4	CMS4
GSM972011	gse39582	CMS4	CMS4	CMS4
GSM972012	gse39582	CMS3	CMS3	CMS3
GSM972013	gse39582	CMS2	CMS2	CMS2
GSM972014	gse39582	CMS2	CMS2	CMS2
GSM972015	gse39582	CMS1	CMS1	CMS1
GSM972016	gse39582	CMS1	CMS1	CMS1
GSM972017	gse39582	CMS2	NOLBL	CMS2
GSM972018	gse39582	CMS2	CMS4	CMS2
GSM972019	gse39582	CMS4	CMS4	CMS4
GSM972020	gse39582	CMS2	CMS4	CMS2
GSM972021	gse39582	CMS1	CMS1	CMS1
GSM972022	gse39582	CMS2	NOLBL	CMS2
GSM972023	gse39582	CMS3	CMS3	CMS3
GSM972024	gse39582	CMS2	CMS2	CMS2
GSM972025	gse39582	CMS2	CMS2	CMS2
GSM972026	gse39582	CMS4	CMS4	CMS4
GSM972027	gse39582	CMS2	CMS2	CMS2
GSM972028	gse39582	CMS2	NOLBL	CMS2
GSM972029	gse39582	CMS4	CMS4	CMS4
GSM972030	gse39582	UNK	CMS4	CMS4
GSM972031	gse39582	CMS2	CMS2	CMS2
GSM972032	gse39582	CMS2	CMS2	CMS2
GSM972033	gse39582	CMS2	CMS2	CMS2
GSM972034	gse39582	CMS2	CMS2	CMS2
GSM972035	gse39582	CMS2	CMS2	CMS2
GSM972036	gse39582	CMS3	CMS3	CMS3
GSM972037	gse39582	CMS3	CMS3	CMS3
GSM972038	gse39582	CMS2	CMS2	CMS2
GSM972039	gse39582	CMS4	CMS4	CMS4
GSM972040	gse39582	CMS2	CMS2	CMS2
GSM972041	gse39582	CMS2	CMS2	CMS2
GSM972042	gse39582	CMS3	CMS3	CMS3
GSM972043	gse39582	CMS2	CMS2	CMS2
GSM972044	gse39582	CMS3	CMS3	CMS3
GSM972045	gse39582	CMS3	CMS3	CMS3
GSM972046	gse39582	CMS4	CMS4	CMS4
GSM972047	gse39582	UNK	CMS4	CMS4
GSM972048	gse39582	CMS2	CMS2	CMS2
GSM972049	gse39582	CMS3	CMS3	CMS3
GSM972050	gse39582	CMS3	CMS3	CMS3
GSM972051	gse39582	CMS4	CMS4	CMS4
GSM972052	gse39582	CMS2	CMS2	CMS2
GSM972053	gse39582	CMS2	CMS2	CMS2
GSM972054	gse39582	CMS4	CMS4	CMS4
GSM972055	gse39582	UNK	NOLBL	NOLBL
GSM972056	gse39582	CMS1	CMS1	CMS1
GSM972057	gse39582	CMS2	CMS2	CMS2
GSM972058	gse39582	CMS1	CMS1	CMS1
GSM972059	gse39582	CMS1	CMS1	CMS1
GSM972060	gse39582	CMS2	CMS2	CMS2
GSM972061	gse39582	CMS2	CMS2	CMS2
GSM972062	gse39582	CMS2	CMS2	CMS2
GSM972063	gse39582	UNK	CMS4	CMS4
GSM972064	gse39582	CMS4	CMS4	CMS4
GSM972065	gse39582	CMS2	CMS2	CMS2
GSM972066	gse39582	CMS2	CMS2	CMS2
GSM972067	gse39582	CMS4	CMS4	CMS4
GSM972068	gse39582	CMS4	CMS4	CMS4
GSM972069	gse39582	UNK	CMS4	CMS4
GSM972070	gse39582	UNK	NOLBL	NOLBL
GSM972071	gse39582	CMS2	NOLBL	CMS2
GSM972072	gse39582	CMS1	CMS1	CMS1
GSM972073	gse39582	CMS4	CMS4	CMS4
GSM972074	gse39582	CMS2	CMS2	CMS2
GSM972075	gse39582	CMS1	CMS1	CMS1
GSM972076	gse39582	CMS1	CMS1	CMS1
GSM972077	gse39582	UNK	CMS4	CMS4
GSM972078	gse39582	CMS2	CMS4	CMS2
GSM972079	gse39582	UNK	NOLBL	NOLBL
GSM972080	gse39582	CMS1	CMS1	CMS1
GSM972081	gse39582	CMS2	CMS2	CMS2
GSM972082	gse39582	CMS4	CMS4	CMS4
GSM972083	gse39582	UNK	NOLBL	NOLBL
GSM972084	gse39582	CMS4	CMS4	CMS4
GSM972085	gse39582	CMS2	CMS2	CMS2
GSM972086	gse39582	CMS2	CMS2	CMS2
GSM972087	gse39582	CMS2	CMS2	CMS2
GSM972088	gse39582	UNK	CMS4	CMS4
GSM972089	gse39582	CMS4	CMS4	CMS4
GSM972090	gse39582	CMS2	CMS2	CMS2
GSM972091	gse39582	CMS3	CMS3	CMS3
GSM972092	gse39582	CMS4	CMS4	CMS4
GSM972093	gse39582	UNK	CMS4	CMS4
